2023-06-27_12-47-29_space_(38).wav,2023-06-27_12-47-29_space_(9).wav,1
2023-06-27_12-47-29_d_(15).wav,2023-06-27_12-47-29_p_(0).wav,0
2023-06-27_12-45-20_s_(0).wav,2023-06-27_12-45-20_s_(1).wav,1
2023-06-27_12-45-20_i_(2).wav,2023-06-27_12-47-29_i_(0).wav,1
2023-06-27_12-47-29_space_(31).wav,2023-06-27_12-47-29_space_(8).wav,1
2023-06-27_12-47-29_i_(1).wav,2023-06-27_12-47-29_i_(5).wav,1
2023-06-27_12-47-29_space_(19).wav,2023-06-27_12-47-29_space_(2).wav,1
2023-06-27_12-47-29_d_(16).wav,2023-06-27_12-47-29_x_(0).wav,0
2023-06-27_12-47-29_h_(9).wav,2023-06-27_12-47-29_f_(3).wav,0
2023-06-27_12-47-29_space_(29).wav,2023-06-27_12-47-29_space_(73).wav,1
2023-06-27_12-45-20_i_(1).wav,2023-06-27_12-47-29_i_(26).wav,1
2023-06-27_12-47-29_p_(0).wav,2023-06-27_12-47-29_m_(6).wav,0
2023-06-27_12-47-29_space_(35).wav,2023-06-27_12-47-29_space_(47).wav,1
2023-06-27_12-47-29_s_(6).wav,2023-06-27_12-47-29_t_(0).wav,0
2023-06-27_12-47-29_e_(15).wav,2023-06-27_12-47-29_e_(19).wav,1
2023-06-27_12-45-20_space_(3).wav,2023-06-27_12-47-29_space_(10).wav,1
2023-06-27_12-47-29_p_(0).wav,2023-06-27_12-47-29_w_(5).wav,0
2023-06-27_12-47-29_o_(15).wav,2023-06-27_12-47-29_l_(17).wav,0
2023-06-27_12-47-29_t_(10).wav,2023-06-27_12-47-29_t_(14).wav,1
2023-06-27_12-47-29_space_(32).wav,2023-06-27_12-47-29_space_(36).wav,1
2023-06-27_12-45-20_l_(0).wav,2023-06-27_12-47-29_l_(2).wav,1
2023-06-27_12-45-20_space_(1).wav,2023-06-27_12-47-29_space_(46).wav,1
2023-06-27_12-47-29_e_(10).wav,2023-06-27_12-47-29_g_(5).wav,0
2023-06-27_12-47-29_space_(34).wav,2023-06-27_12-47-29_space_(86).wav,1
2023-06-27_12-47-29_o_(24).wav,2023-06-27_12-47-29_o_(3).wav,1
2023-06-27_12-47-29_e_(10).wav,2023-06-27_12-47-29_u_(0).wav,0
2023-06-27_12-47-29_h_(6).wav,2023-06-27_12-47-29_w_(4).wav,0
2023-06-27_12-47-29_i_(1).wav,2023-06-27_12-47-29_i_(26).wav,1
2023-06-27_12-47-29_space_(52).wav,2023-06-27_12-47-29_space_(86).wav,1
2023-06-27_12-47-29_a_(0).wav,2023-06-27_12-47-29_a_(17).wav,1
2023-06-27_12-47-29_i_(24).wav,2023-06-27_12-47-29_i_(37).wav,1
2023-06-27_12-47-29_o_(10).wav,2023-06-27_12-47-29_d_(18).wav,0
2023-06-27_12-47-29_p_(1).wav,2023-06-27_12-47-29_d_(6).wav,0
2023-06-27_12-47-29_s_(4).wav,2023-06-27_12-47-29_space_(34).wav,0
2023-06-27_12-47-29_w_(1).wav,2023-06-27_12-47-29_w_(2).wav,1
2023-06-27_12-47-29_space_(0).wav,2023-06-27_12-47-29_space_(65).wav,1
2023-06-27_12-47-29_i_(13).wav,2023-06-27_12-47-29_i_(26).wav,1
2023-06-27_12-47-29_space_(0).wav,2023-06-27_12-47-29_space_(40).wav,1
2023-06-27_12-47-29_space_(10).wav,2023-06-27_12-47-29_space_(24).wav,1
2023-06-27_12-47-29_space_(27).wav,2023-06-27_12-47-29_space_(45).wav,1
2023-06-27_12-47-29_space_(1).wav,2023-06-27_12-47-29_space_(20).wav,1
2023-06-27_12-47-29_i_(17).wav,2023-06-27_12-47-29_i_(27).wav,1
2023-06-27_12-47-29_v_(0).wav,2023-06-27_12-47-29_n_(3).wav,0
2023-06-27_12-47-29_e_(30).wav,2023-06-27_12-47-29_m_(6).wav,0
2023-06-27_12-47-29_space_(13).wav,2023-06-27_12-47-29_space_(2).wav,1
2023-06-27_12-45-20_t_(0).wav,2023-06-27_12-47-29_t_(6).wav,1
2023-06-27_12-47-29_p_(0).wav,2023-06-27_12-47-29_h_(6).wav,0
2023-06-27_12-47-29_a_(2).wav,2023-06-27_12-47-29_a_(6).wav,1
2023-06-27_12-47-29_o_(2).wav,2023-06-27_12-47-29_o_(9).wav,1
2023-06-27_12-47-29_e_(0).wav,2023-06-27_12-47-29_e_(14).wav,1
2023-06-27_12-47-29_i_(33).wav,2023-06-27_12-47-29_i_(9).wav,1
2023-06-27_12-45-20_c_(0).wav,2023-06-27_12-47-29_d_(19).wav,0
2023-06-27_12-47-29_e_(31).wav,2023-06-27_12-47-29_k_(6).wav,0
2023-06-27_12-47-29_r_(5).wav,2023-06-27_12-47-29_i_(25).wav,0
2023-06-27_12-47-29_g_(3).wav,2023-06-27_12-47-29_d_(18).wav,0
2023-06-27_12-47-29_n_(18).wav,2023-06-27_12-47-29_n_(7).wav,1
2023-06-27_12-47-29_n_(0).wav,2023-06-27_12-47-29_c_(2).wav,0
2023-06-27_12-47-29_space_(43).wav,2023-06-27_12-47-29_space_(9).wav,1
2023-06-27_12-47-29_y_(2).wav,2023-06-27_12-47-29_s_(10).wav,0
2023-06-27_12-45-20_space_(1).wav,2023-06-27_12-47-29_space_(21).wav,1
2023-06-27_12-47-29_space_(59).wav,2023-06-27_12-47-29_space_(84).wav,1
2023-06-27_12-47-29_space_(12).wav,2023-06-27_12-47-29_space_(39).wav,1
2023-06-27_12-47-29_s_(8).wav,2023-06-27_12-47-29_v_(0).wav,0
2023-06-27_12-47-29_l_(5).wav,2023-06-27_12-47-29_b_(2).wav,0
2023-06-27_12-45-20_c_(0).wav,2023-06-27_12-47-29_d_(10).wav,0
2023-06-27_12-47-29_m_(5).wav,2023-06-27_12-47-29_h_(9).wav,0
2023-06-27_12-47-29_space_(64).wav,2023-06-27_12-47-29_space_(83).wav,1
2023-06-27_12-47-29_n_(14).wav,2023-06-27_12-47-29_n_(18).wav,1
2023-06-27_12-47-29_g_(3).wav,2023-06-27_12-47-29_d_(2).wav,0
